Team,Categorie,LastName,Name
Alpecin Premier Tech,WT,PHILIPSEN,Jasper
Alpecin Premier Tech,WT,GROVES,Kaden
Alpecin Premier Tech,WT,VAN DER POEL,Mathieu
Alpecin Premier Tech,WT,VERSTRYNGE,Emiel
Alpecin Premier Tech,WT,RICKAERT,Jonas
Bahrain Victorious,WT,TIBERI,Antonio
Bahrain Victorious,WT,MARTINEZ,Lenny
Bahrain Victorious,WT,MOHORIČ,Matej
Bahrain Victorious,WT,BILBAO,Pello
Decathlon CMA CGM Team,WT,KOOIJ,Olav
Decathlon CMA CGM Team,WT,BENOOT,Tiesj
Decathlon CMA CGM Team,WT,HOOLE,Daan
Decathlon CMA CGM Team,WT,BISSEGGER,Stefan
Decathlon CMA CGM Team,WT,SEIXAS,Paul
EF Education EasyPost,WT,HEALY,Ben
EF Education EasyPost,WT,ASGREEN,Kasper
EF Education EasyPost,WT,CARAPAZ,Richard
EF Education EasyPost,WT,BAUDIN,Alex
Groupama FDJ United,WT,GAUDU,David
Groupama FDJ United,WT,MARTIN,Guillaume
Netcompany INEOS,WT,GANNA,Filippo
Netcompany INEOS,WT,RODRÍGUEZ,Carlos
Netcompany INEOS,WT,KWIATKOWSKI,Michał
Netcompany INEOS,WT,VAUQUELIN,Kévin
Netcompany INEOS,WT,GODON,Dorian
Netcompany INEOS,WT,ARENSMAN,Thymen
Lidl Trek,WT,CICCONE,Giulio
Lidl Trek,WT,AYUSO,Juan
Lidl Trek,WT,PEDERSEN,Mads
Lidl Trek,WT,VACEK,Mathias
Lidl Trek,WT,SKJELMOSE,Mattias
Lidl Trek,WT,SIMMONS,Quinn
Lidl Trek,WT,KRAGH ANDERSEN,Søren
Lotto Intermarché,WT,DE LIE,Arnaud
Lotto Intermarché,WT,VAN EETVELT,Lennert
Lotto Intermarché,WT,ZIMMERMANN,Georg
Movistar Team,WT,UIJTDEBROEKS,Cian
Movistar Team,WT,RUBIO,Einer
Movistar Team,WT,ROMEO,Iván
Movistar Team,WT,CASTRILLO,Pablo
Movistar Team,WT,ADRIÀ,Roger
NSN Cycling Team,WT,GIRMAY,Biniam
NSN Cycling Team,WT,STEWART,Jake
Red Bull BORA hansgrohe,WT,EVENEPOEL,Remco
Red Bull BORA hansgrohe,WT,LIPOWITZ,Florian
Red Bull BORA hansgrohe,WT,CATTANEO,Mattia
Red Bull BORA hansgrohe,WT,VAN GILS,Maxim
Red Bull BORA hansgrohe,WT,DENZ,Nico
Red Bull BORA hansgrohe,WT,VAN DIJKE,Mick
Red Bull BORA hansgrohe,WT,HINDLEY,Jai
Red Bull BORA hansgrohe,WT,MARTÍNEZ,Daniel Felipe
Red Bull BORA hansgrohe,WT,MEEUS,Jordi
Red Bull BORA hansgrohe,WT,MOSCON,Gianni
Red Bull BORA hansgrohe,WT,TRATNIK,Jan
Soudal Quick Step,WT,PARET PEINTRE,Valentin
Soudal Quick Step,WT,LANDA,Mikel
Soudal Quick Step,WT,MERLIER,Tim
Soudal Quick Step,WT,STUYVEN,Jasper
Soudal Quick Step,WT,VAN WILDER,Ilan
Soudal Quick Step,WT,VERVAEKE,Louis
Soudal Quick Step,WT,VAN BAARLE,Dylan
Soudal Quick Step,WT,VAN LERBERGHE,Bert
Team Jayco AlUla,WT,MATTHEWS,Michael
Team Jayco AlUla,WT,PLAPP,Luke
Team Jayco AlUla,WT,ACKERMANN,Pascal
Team Jayco AlUla,WT,O'CONNOR,Ben
Team Jayco AlUla,WT,SCHMID,Mauro
Team Picnic PostNL,WT,BITTNER,Pavel
Team Picnic PostNL,WT,BARGUIL,Warren
Team Picnic PostNL,WT,VAN DEN BROEK,Frank
Team Visma Lease a Bike,WT,VINGEGAARD,Jonas
Team Visma Lease a Bike,WT,JORGENSON,Matteo
Team Visma Lease a Bike,WT,ARMIRAIL,Bruno
Team Visma Lease a Bike,WT,CAMPENAERTS,Victor
Team Visma Lease a Bike,WT,KUSS,Sepp
Team Visma Lease a Bike,WT,TULETT,Ben
Team Visma Lease a Bike,WT,AFFINI,Edoardo
UAE Team Emirates XRG,WT,POGAČAR,Tadej
UAE Team Emirates XRG,WT,DEL TORO,Isaac
UAE Team Emirates XRG,WT,WELLENS,Tim
UAE Team Emirates XRG,WT,MCNULTY,Brandon
UAE Team Emirates XRG,WT,YATES,Adam
UAE Team Emirates XRG,WT,VERMEERSCH,Florian
UAE Team Emirates XRG,WT,POLITT,Nils
Uno X Mobility,WT,KRON,Andreas
Uno X Mobility,WT,CORT,Magnus
Uno X Mobility,WT,JOHANNESSEN,Tobias Halland
XDS Astana Team,WT,TEUNISSEN,Mike
XDS Astana Team,WT,HIGUITA,Sergio
XDS Astana Team,WT,TEJADA,Harold
XDS Astana Team,WT,FORTUNATO,Lorenzo
Cofidis,PRT,KIRSCH,Alex
Cofidis,PRT,FRETIN,Milan
Cofidis,PRT,BUCHMANN,Emanuel
Cofidis,PRT,PAGE,Hugo
Cofidis,PRT,ARANBURU,Alex
Cofidis,PRT,IZAGIRRE,Ion
Cofidis,PRT,ALLEGAERT,Piet
Cofidis,PRT,BIERMANS,Jenthe
Cofidis,PRT,THOMAS,Benjamin
Tudor Pro Cycling Team,PRT,ALAPHILIPPE,Julian
Tudor Pro Cycling Team,PRT,KÜNG,Stefan
Tudor Pro Cycling Team,PRT,STORER,Michael
Tudor Pro Cycling Team,PRT,TRENTIN,Matteo
Tudor Pro Cycling Team,PRT,PLUIMERS,Rick
TotalEnergies,PRT,JEGAT,Jordan
Caja Rural Seguros RGA,PRT,MOLENAAR,Alex
Pinarello Q36.5 Pro Cycling Team,PRT,PIDCOCK,Tom
Pinarello Q36.5 Pro Cycling Team,PRT,WRIGHT,Fred
Pinarello Q36.5 Pro Cycling Team,PRT,HERMANS,Quinten
