rider_name,position,won,stage_type,elevation,distance_km,pcs_ranking,rider_type,gap_pct,hist_stage_wins,RCS_ranking
BardetRomain,1,1,mountain,3821,206.0,0,Climber,0.0,0,0
van den BroekFrank,2,0,mountain,3821,206.0,0,GC,0.0,0,0
van AertWout,3,0,mountain,3821,206.0,0,Classic,0.0271,0,0
PogačarTadej,4,0,mountain,3821,206.0,0,Climber,0.0271,0,0
Van GilsMaxim,5,0,mountain,3821,206.0,0,Classic,0.0271,0,0
AranburuAlex,6,0,mountain,3821,206.0,0,Classic,0.0271,0,0
PedersenMads,7,0,mountain,3821,206.0,0,Classic,0.0271,0,0
EvenepoelRemco,8,0,mountain,3821,206.0,0,TT,0.0271,0,0
BilbaoPello,9,0,mountain,3821,206.0,0,Climber,0.0271,0,0
BettiolAlberto,10,0,mountain,3821,206.0,0,Classic,0.0271,0,0
PidcockTom,11,0,mountain,3821,206.0,0,Classic,0.0271,0,0
BernalEgan,12,0,mountain,3821,206.0,0,GC,0.0271,0,0
Van WilderIlan,13,0,mountain,3821,206.0,0,GC,0.0271,0,0
CampenaertsVictor,14,0,mountain,3821,206.0,0,TT,0.0271,0,0
HindleyJai,15,0,mountain,3821,206.0,0,Climber,0.0271,0,0
VingegaardJonas,16,0,mountain,3821,206.0,0,GC,0.0271,0,0
Gee-WestDerek,17,0,mountain,3821,206.0,0,Climber,0.0271,0,0
VlasovAleksandr,18,0,mountain,3821,206.0,0,Climber,0.0271,0,0
SkujiņšToms,19,0,mountain,3821,206.0,0,Classic,0.0271,0,0
ThomasGeraint,20,0,mountain,3821,206.0,0,GC,0.0271,0,0
CrasSteff,21,0,mountain,3821,206.0,0,GC,0.0271,0,0
CarapazRichard,22,0,mountain,3821,206.0,0,Climber,0.0271,0,0
JorgensonMatteo,23,0,mountain,3821,206.0,0,GC,0.0271,0,0
JohannessenTobias Halland,24,0,mountain,3821,206.0,0,Climber,0.0271,0,0
MartinGuillaume,25,0,mountain,3821,206.0,0,Climber,0.0271,0,0
MasEnric,26,0,mountain,3821,206.0,0,Climber,0.0271,0,0
HaigJack,27,0,mountain,3821,206.0,0,GC,0.0271,0,0
RodríguezCarlos,28,0,mountain,3821,206.0,0,GC,0.0271,0,0
OnleyOscar,29,0,mountain,3821,206.0,0,GC,0.0271,0,0
EikingOdd Christian,30,0,mountain,3821,206.0,0,GC,0.0271,0,0
CicconeGiulio,31,0,mountain,3821,206.0,0,Climber,0.0271,0,0
LandaMikel,32,0,mountain,3821,206.0,0,Climber,0.0271,0,0
KulsetJohannes,33,0,mountain,3821,206.0,0,GC,0.0271,0,0
RogličPrimož,34,0,mountain,3821,206.0,0,Climber,0.0271,0,0
De PlusLaurens,35,0,mountain,3821,206.0,0,GC,0.0271,0,0
YatesSimon,36,0,mountain,3821,206.0,0,Climber,0.0271,0,0
AyusoJuan,37,0,mountain,3821,206.0,0,Climber,0.0271,0,0
BarguilWarren,38,0,mountain,3821,206.0,0,Climber,0.0271,0,0
CostaRui,39,0,mountain,3821,206.0,0,GC,0.0271,0,0
HarperChris,40,0,mountain,3821,206.0,0,GC,0.0271,0,0
GallFelix,41,0,mountain,3821,206.0,0,Climber,0.0271,0,0
ArmirailBruno,42,0,mountain,3821,206.0,0,TT,0.0271,0,0
AlmeidaJoão,43,0,mountain,3821,206.0,0,GC,0.0271,0,0
SivakovPavel,44,0,mountain,3821,206.0,0,GC,0.0271,0,0
YatesAdam,45,0,mountain,3821,206.0,0,Climber,0.0271,0,0
RomoJavier,46,0,mountain,3821,206.0,0,GC,0.0271,0,0
BuitragoSantiago,47,0,mountain,3821,206.0,0,Climber,0.0271,0,0
MeintjesLouis,48,0,mountain,3821,206.0,0,GC,0.0271,0,0
KwiatkowskiMichał,49,0,mountain,3821,206.0,0,Classic,0.0868,0,0
HealyBen,50,0,mountain,3821,206.0,0,Climber,0.0976,0,0
PowlessNeilson,51,0,mountain,3821,206.0,0,Classic,0.1844,0,0
KeldermanWilco,52,0,mountain,3821,206.0,0,GC,0.2061,0,0
BernardJulien,53,0,mountain,3821,206.0,0,GC,0.4555,0,0
VeronaCarlos,54,0,mountain,3821,206.0,0,GC,0.4555,0,0
MadouasValentin,55,0,mountain,3821,206.0,0,Classic,0.5477,0,0
VervaekeLouis,56,0,mountain,3821,206.0,0,GC,2.9281,0,0
GibbonsRyan,57,0,mountain,3821,206.0,0,Hills,2.9281,0,0
FormoloDavide,58,0,mountain,3821,206.0,0,Climber,4.6416,0,0
TratnikJan,59,0,mountain,3821,206.0,0,TT,4.6416,0,0
JungelsBob,60,0,mountain,3821,206.0,0,TT,4.8964,0,0
AbrahamsenJonas,61,0,mountain,3821,206.0,0,Classic,4.8964,0,0
TejadaHarold,62,0,mountain,3821,206.0,0,Climber,4.8964,0,0
BeullensCedric,63,0,mountain,3821,206.0,0,Classic,6.1056,0,0
OliveiraNelson,64,0,mountain,3821,206.0,0,TT,6.1056,0,0
PageHugo,65,0,mountain,3821,206.0,0,Classic,6.1056,0,0
LauranceAxel,66,0,mountain,3821,206.0,0,Hills,6.1056,0,0
LapeiraPaul,67,0,mountain,3821,206.0,0,Classic,6.1056,0,0
PacherQuentin,68,0,mountain,3821,206.0,0,Hills,6.1056,0,0
RodríguezCristián,69,0,mountain,3821,206.0,0,GC,6.1056,0,0
GrellierFabien,70,0,mountain,3821,206.0,0,Classic,6.1056,0,0
GenietsKevin,71,0,mountain,3821,206.0,0,Classic,6.1056,0,0
Van MoerBrent,72,0,mountain,3821,206.0,0,Classic,6.1056,0,0
Kragh AndersenSøren,73,0,mountain,3821,206.0,0,TT,6.1056,0,0
FuglsangJakob,74,0,mountain,3821,206.0,0,GC,6.1056,0,0
NeilandsKrists,75,0,mountain,3821,206.0,0,Classic,6.1056,0,0
GoossensKobe,76,0,mountain,3821,206.0,0,Classic,6.1056,0,0
KüngStefan,77,0,mountain,3821,206.0,0,TT,6.1056,0,0
SolerMarc,78,0,mountain,3821,206.0,0,Climber,6.1056,0,0
GrégoireRomain,79,0,mountain,3821,206.0,0,Classic,6.1056,0,0
MohoričMatej,80,0,mountain,3821,206.0,0,Classic,6.1056,0,0
