year,stage,position,rider,team,time
2023,1,1,YatesAdam,UAE Team Emirates,4:22:494:22:49
2023,1,2,YatesSimon,Team Jayco AlUla,0:040:04
2023,1,3,PogačarTadej,UAE Team Emirates,0:120:12
2023,1,4,PinotThibaut,Groupama - FDJ,",,0:12"
2023,1,5,WoodsMichael,Israel - Premier Tech,",,0:12"
2023,1,6,LafayVictor,Cofidis,",,0:12"
2023,1,7,HindleyJai,BORA - hansgrohe,",,0:12"
2023,1,8,SkjelmoseMattias,Lidl - Trek,",,0:12"
2023,1,9,VingegaardJonas,Jumbo-Visma,",,0:12"
2023,1,10,GauduDavid,Groupama - FDJ,",,0:12"
2023,1,11,van AertWout,Jumbo-Visma,",,0:12"
2023,1,12,LandaMikel,Bahrain - Victorious,",,0:12"
2023,1,13,RodríguezCarlos,INEOS Grenadiers,",,0:12"
2023,1,14,KeldermanWilco,Jumbo-Visma,",,0:12"
2023,1,15,StrongCorbin,Israel - Premier Tech,0:330:33
2023,1,16,AranburuAlex,Movistar Team,",,0:33"
2023,1,17,Van GilsMaxim,Lotto Dstny,",,0:33"
2023,1,18,TeunsDylan,Israel - Premier Tech,",,0:33"
2023,1,19,CrasSteff,TotalEnergies,",,0:33"
2023,1,20,MadouasValentin,Groupama - FDJ,",,0:33"
2023,1,21,MeintjesLouis,Intermarché - Circus - Wanty,",,0:33"
2023,1,22,BardetRomain,Team dsm - firmenich,",,0:33"
2023,1,23,BernalEgan,INEOS Grenadiers,",,0:33"
2023,1,24,BuchmannEmanuel,BORA - hansgrohe,",,0:33"
2023,1,25,AlaphilippeJulian,Soudal Quick-Step,",,0:33"
2023,1,26,TejadaHarold,Astana Qazaqstan Team,",,0:33"
2023,1,27,MartinGuillaume,Cofidis,",,0:33"
2023,1,28,DinhamMatthew,Team dsm - firmenich,",,0:33"
2023,1,29,PidcockTom,INEOS Grenadiers,",,0:33"
2023,1,30,JohannessenTobias Halland,Uno-X Pro Cycling Team,",,0:33"
2023,1,31,KussSepp,Jumbo-Visma,",,0:33"
2023,1,32,HaigJack,Bahrain - Victorious,",,0:33"
2023,1,33,O'ConnorBen,AG2R Citroën Team,",,0:33"
2023,1,34,HarperChris,Team Jayco AlUla,",,0:33"
2023,1,35,CicconeGiulio,Lidl - Trek,",,0:33"
2023,1,36,GallFelix,AG2R Citroën Team,",,0:33"
2023,1,37,van der PoelMathieu,Alpecin - Deceuninck,",,0:33"
2023,1,38,SánchezLuis León,Astana Qazaqstan Team,",,0:33"
2023,1,39,BerthetClément,AG2R Citroën Team,",,0:33"
2023,1,40,BilbaoPello,Bahrain - Victorious,",,0:33"
2023,1,41,MajkaRafał,UAE Team Emirates,",,0:33"
2023,1,42,CastroviejoJonathan,INEOS Grenadiers,0:480:48
2023,1,43,LópezJuan Pedro,Lidl - Trek,0:520:52
2023,1,44,GroßschartnerFelix,UAE Team Emirates,1:191:19
2023,1,45,ZimmermannGeorg,Intermarché - Circus - Wanty,1:211:21
2023,1,46,PowlessNeilson,EF Education - EasyPost,1:321:32
2023,1,47,BettiolAlberto,EF Education - EasyPost,2:062:06
2023,1,48,de la CruzDavid,Astana Qazaqstan Team,2:152:15
2023,1,49,JorgensonMatteo,Movistar Team,2:382:38
2023,1,50,BurgaudeauMathieu,TotalEnergies,",,2:38"
